scene,image_path,mask_path,image_name,total_pixels,forest_pixels,background_pixels,forest_percentage,background_percentage
Rural,LoveDa/Train/Train/Rural/images_png/1347.png,LoveDa/Train/Train/Rural/masks_png/1347.png,1347.png,1048576,0,1048576,0.0,100.0
Rural,LoveDa/Train/Train/Rural/images_png/1353.png,LoveDa/Train/Train/Rural/masks_png/1353.png,1353.png,1048576,22278,1026298,2.1245956420898438,97.87540435791016
Rural,LoveDa/Train/Train/Rural/images_png/980.png,LoveDa/Train/Train/Rural/masks_png/980.png,980.png,1048576,125887,922689,12.00551986694336,87.99448013305664
Rural,LoveDa/Train/Train/Rural/images_png/758.png,LoveDa/Train/Train/Rural/masks_png/758.png,758.png,1048576,537,1048039,0.051212310791015625,99.94878768920898
Rural,LoveDa/Train/Train/Rural/images_png/994.png,LoveDa/Train/Train/Rural/masks_png/994.png,994.png,1048576,635,1047941,0.060558319091796875,99.9394416809082
Rural,LoveDa/Train/Train/Rural/images_png/764.png,LoveDa/Train/Train/Rural/masks_png/764.png,764.png,1048576,249795,798781,23.822307586669922,76.17769241333008
Rural,LoveDa/Train/Train/Rural/images_png/770.png,LoveDa/Train/Train/Rural/masks_png/770.png,770.png,1048576,983955,64621,93.83726119995117,6.162738800048828
Rural,LoveDa/Train/Train/Rural/images_png/943.png,LoveDa/Train/Train/Rural/masks_png/943.png,943.png,1048576,953819,94757,90.9632682800293,9.036731719970703
Rural,LoveDa/Train/Train/Rural/images_png/957.png,LoveDa/Train/Train/Rural/masks_png/957.png,957.png,1048576,0,1048576,0.0,100.0
Rural,LoveDa/Train/Train/Rural/images_png/1233.png,LoveDa/Train/Train/Rural/masks_png/1233.png,1233.png,1048576,329996,718580,31.470870971679688,68.52912902832031
Rural,LoveDa/Train/Train/Rural/images_png/1227.png,LoveDa/Train/Train/Rural/masks_png/1227.png,1227.png,1048576,0,1048576,0.0,100.0
Rural,LoveDa/Train/Train/Rural/images_png/228.png,LoveDa/Train/Train/Rural/masks_png/228.png,228.png,1048576,1048576,0,100.0,0.0
Rural,LoveDa/Train/Train/Rural/images_png/566.png,LoveDa/Train/Train/Rural/masks_png/566.png,566.png,1048576,95375,953201,9.09566879272461,90.90433120727539
Rural,LoveDa/Train/Train/Rural/images_png/200.png,LoveDa/Train/Train/Rural/masks_png/200.png,200.png,1048576,476930,571646,45.48358917236328,54.51641082763672
Rural,LoveDa/Train/Train/Rural/images_png/214.png,LoveDa/Train/Train/Rural/masks_png/214.png,214.png,1048576,0,1048576,0.0,100.0
Rural,LoveDa/Train/Train/Rural/images_png/572.png,LoveDa/Train/Train/Rural/masks_png/572.png,572.png,1048576,1025907,22669,97.83811569213867,2.161884307861328
Rural,LoveDa/Train/Train/Rural/images_png/599.png,LoveDa/Train/Train/Rural/masks_png/599.png,599.png,1048576,0,1048576,0.0,100.0
Rural,LoveDa/Train/Train/Rural/images_png/1019.png,LoveDa/Train/Train/Rural/masks_png/1019.png,1019.png,1048576,0,1048576,0.0,100.0
Rural,LoveDa/Train/Train/Rural/images_png/1031.png,LoveDa/Train/Train/Rural/masks_png/1031.png,1031.png,1048576,151055,897521,14.40572738647461,85.59427261352539
Rural,LoveDa/Train/Train/Rural/images_png/1025.png,LoveDa/Train/Train/Rural/masks_png/1025.png,1025.png,1048576,339356,709220,32.36351013183594,67.63648986816406
Rural,LoveDa/Train/Train/Rural/images_png/1024.png,LoveDa/Train/Train/Rural/masks_png/1024.png,1024.png,1048576,877373,171203,83.67280960083008,16.327190399169922
Rural,LoveDa/Train/Train/Rural/images_png/1030.png,LoveDa/Train/Train/Rural/masks_png/1030.png,1030.png,1048576,97113,951463,9.261417388916016,90.73858261108398
Rural,LoveDa/Train/Train/Rural/images_png/1018.png,LoveDa/Train/Train/Rural/masks_png/1018.png,1018.png,1048576,0,1048576,0.0,100.0
Rural,LoveDa/Train/Train/Rural/images_png/598.png,LoveDa/Train/Train/Rural/masks_png/598.png,598.png,1048576,339485,709091,32.37581253051758,67.62418746948242
Rural,LoveDa/Train/Train/Rural/images_png/215.png,LoveDa/Train/Train/Rural/masks_png/215.png,215.png,1048576,412924,635652,39.37950134277344,60.62049865722656
Rural,LoveDa/Train/Train/Rural/images_png/573.png,LoveDa/Train/Train/Rural/masks_png/573.png,573.png,1048576,166208,882368,15.850830078125,84.149169921875
Rural,LoveDa/Train/Train/Rural/images_png/567.png,LoveDa/Train/Train/Rural/masks_png/567.png,567.png,1048576,0,1048576,0.0,100.0
Rural,LoveDa/Train/Train/Rural/images_png/201.png,LoveDa/Train/Train/Rural/masks_png/201.png,201.png,1048576,27984,1020592,2.66876220703125,97.33123779296875
Rural,LoveDa/Train/Train/Rural/images_png/229.png,LoveDa/Train/Train/Rural/masks_png/229.png,229.png,1048576,347688,700888,33.158111572265625,66.84188842773438
Rural,LoveDa/Train/Train/Rural/images_png/1226.png,LoveDa/Train/Train/Rural/masks_png/1226.png,1226.png,1048576,494136,554440,47.124481201171875,52.875518798828125
Rural,LoveDa/Train/Train/Rural/images_png/1232.png,LoveDa/Train/Train/Rural/masks_png/1232.png,1232.png,1048576,521121,527455,49.69797134399414,50.30202865600586
Rural,LoveDa/Train/Train/Rural/images_png/956.png,LoveDa/Train/Train/Rural/masks_png/956.png,956.png,1048576,591975,456601,56.455135345458984,43.544864654541016
Rural,LoveDa/Train/Train/Rural/images_png/942.png,LoveDa/Train/Train/Rural/masks_png/942.png,942.png,1048576,19227,1029349,1.8336296081542969,98.1663703918457
Rural,LoveDa/Train/Train/Rural/images_png/771.png,LoveDa/Train/Train/Rural/masks_png/771.png,771.png,1048576,3572,1045004,0.3406524658203125,99.65934753417969
Rural,LoveDa/Train/Train/Rural/images_png/765.png,LoveDa/Train/Train/Rural/masks_png/765.png,765.png,1048576,71962,976614,6.862831115722656,93.13716888427734
Rural,LoveDa/Train/Train/Rural/images_png/995.png,LoveDa/Train/Train/Rural/masks_png/995.png,995.png,1048576,0,1048576,0.0,100.0
Rural,LoveDa/Train/Train/Rural/images_png/759.png,LoveDa/Train/Train/Rural/masks_png/759.png,759.png,1048576,0,1048576,0.0,100.0
Rural,LoveDa/Train/Train/Rural/images_png/981.png,LoveDa/Train/Train/Rural/masks_png/981.png,981.png,1048576,11693,1036883,1.1151313781738281,98.88486862182617
Rural,LoveDa/Train/Train/Rural/images_png/1352.png,LoveDa/Train/Train/Rural/masks_png/1352.png,1352.png,1048576,255882,792694,24.402809143066406,75.5971908569336
Rural,LoveDa/Train/Train/Rural/images_png/1346.png,LoveDa/Train/Train/Rural/masks_png/1346.png,1346.png,1048576,1873,1046703,0.17862319946289062,99.82137680053711
Rural,LoveDa/Train/Train/Rural/images_png/62.png,LoveDa/Train/Train/Rural/masks_png/62.png,62.png,1048576,20351,1028225,1.9408226013183594,98.05917739868164
Rural,LoveDa/Train/Train/Rural/images_png/822.png,LoveDa/Train/Train/Rural/masks_png/822.png,822.png,1048576,414524,634052,39.53208923339844,60.46791076660156
Rural,LoveDa/Train/Train/Rural/images_png/188.png,LoveDa/Train/Train/Rural/masks_png/188.png,188.png,1048576,732114,316462,69.81983184814453,30.18016815185547
Rural,LoveDa/Train/Train/Rural/images_png/76.png,LoveDa/Train/Train/Rural/masks_png/76.png,76.png,1048576,809,1047767,0.07715225219726562,99.92284774780273
Rural,LoveDa/Train/Train/Rural/images_png/836.png,LoveDa/Train/Train/Rural/masks_png/836.png,836.png,1048576,0,1048576,0.0,100.0
Rural,LoveDa/Train/Train/Rural/images_png/605.png,LoveDa/Train/Train/Rural/masks_png/605.png,605.png,1048576,904224,144352,86.2335205078125,13.7664794921875
Rural,LoveDa/Train/Train/Rural/images_png/163.png,LoveDa/Train/Train/Rural/masks_png/163.png,163.png,1048576,0,1048576,0.0,100.0
Rural,LoveDa/Train/Train/Rural/images_png/177.png,LoveDa/Train/Train/Rural/masks_png/177.png,177.png,1048576,93093,955483,8.878040313720703,91.1219596862793
Rural,LoveDa/Train/Train/Rural/images_png/611.png,LoveDa/Train/Train/Rural/masks_png/611.png,611.png,1048576,181613,866963,17.319965362548828,82.68003463745117
Rural,LoveDa/Train/Train/Rural/images_png/89.png,LoveDa/Train/Train/Rural/masks_png/89.png,89.png,1048576,0,1048576,0.0,100.0
Rural,LoveDa/Train/Train/Rural/images_png/639.png,LoveDa/Train/Train/Rural/masks_png/639.png,639.png,1048576,14751,1033825,1.4067649841308594,98.59323501586914
Rural,LoveDa/Train/Train/Rural/images_png/1150.png,LoveDa/Train/Train/Rural/masks_png/1150.png,1150.png,1048576,734181,314395,70.0169563293457,29.983043670654297
Rural,LoveDa/Train/Train/Rural/images_png/1144.png,LoveDa/Train/Train/Rural/masks_png/1144.png,1144.png,1048576,0,1048576,0.0,100.0
Rural,LoveDa/Train/Train/Rural/images_png/1178.png,LoveDa/Train/Train/Rural/masks_png/1178.png,1178.png,1048576,225663,822913,21.52090072631836,78.47909927368164
Rural,LoveDa/Train/Train/Rural/images_png/361.png,LoveDa/Train/Train/Rural/masks_png/361.png,361.png,1048576,20528,1028048,1.95770263671875,98.04229736328125
Rural,LoveDa/Train/Train/Rural/images_png/1193.png,LoveDa/Train/Train/Rural/masks_png/1193.png,1193.png,1048576,0,1048576,0.0,100.0
Rural,LoveDa/Train/Train/Rural/images_png/407.png,LoveDa/Train/Train/Rural/masks_png/407.png,407.png,1048576,1013620,34956,96.66633605957031,3.3336639404296875
Rural,LoveDa/Train/Train/Rural/images_png/413.png,LoveDa/Train/Train/Rural/masks_png/413.png,413.png,1048576,608948,439628,58.07380676269531,41.92619323730469
Rural,LoveDa/Train/Train/Rural/images_png/1187.png,LoveDa/Train/Train/Rural/masks_png/1187.png,1187.png,1048576,451933,596643,43.09968948364258,56.90031051635742
Rural,LoveDa/Train/Train/Rural/images_png/375.png,LoveDa/Train/Train/Rural/masks_png/375.png,375.png,1048576,0,1048576,0.0,100.0
Rural,LoveDa/Train/Train/Rural/images_png/349.png,LoveDa/Train/Train/Rural/masks_png/349.png,349.png,1048576,0,1048576,0.0,100.0
Rural,LoveDa/Train/Train/Rural/images_png/439.png,LoveDa/Train/Train/Rural/masks_png/439.png,439.png,1048576,486911,561665,46.43545150756836,53.56454849243164
Rural,LoveDa/Train/Train/Rural/images_png/405.png,LoveDa/Train/Train/Rural/masks_png/405.png,405.png,1048576,0,1048576,0.0,100.0
Rural,LoveDa/Train/Train/Rural/images_png/1191.png,LoveDa/Train/Train/Rural/masks_png/1191.png,1191.png,1048576,445067,603509,42.44489669799805,57.55510330200195
Rural,LoveDa/Train/Train/Rural/images_png/363.png,LoveDa/Train/Train/Rural/masks_png/363.png,363.png,1048576,40760,1007816,3.887176513671875,96.11282348632812
Rural,LoveDa/Train/Train/Rural/images_png/377.png,LoveDa/Train/Train/Rural/masks_png/377.png,377.png,1048576,3020,1045556,0.2880096435546875,99.71199035644531
Rural,LoveDa/Train/Train/Rural/images_png/1185.png,LoveDa/Train/Train/Rural/masks_png/1185.png,1185.png,1048576,0,1048576,0.0,100.0
Rural,LoveDa/Train/Train/Rural/images_png/411.png,LoveDa/Train/Train/Rural/masks_png/411.png,411.png,1048576,41920,1006656,3.997802734375,96.002197265625
Rural,LoveDa/Train/Train/Rural/images_png/388.png,LoveDa/Train/Train/Rural/masks_png/388.png,388.png,1048576,279471,769105,26.65243148803711,73.34756851196289
Rural,LoveDa/Train/Train/Rural/images_png/1152.png,LoveDa/Train/Train/Rural/masks_png/1152.png,1152.png,1048576,418424,630152,39.904022216796875,60.095977783203125
Rural,LoveDa/Train/Train/Rural/images_png/1146.png,LoveDa/Train/Train/Rural/masks_png/1146.png,1146.png,1048576,394290,654286,37.60242462158203,62.39757537841797
Rural,LoveDa/Train/Train/Rural/images_png/149.png,LoveDa/Train/Train/Rural/masks_png/149.png,149.png,1048576,862266,186310,82.23209381103516,17.767906188964844
Rural,LoveDa/Train/Train/Rural/images_png/161.png,LoveDa/Train/Train/Rural/masks_png/161.png,161.png,1048576,313816,734760,29.927825927734375,70.07217407226562
Rural,LoveDa/Train/Train/Rural/images_png/607.png,LoveDa/Train/Train/Rural/masks_png/607.png,607.png,1048576,2148,1046428,0.2048492431640625,99.79515075683594
Rural,LoveDa/Train/Train/Rural/images_png/613.png,LoveDa/Train/Train/Rural/masks_png/613.png,613.png,1048576,0,1048576,0.0,100.0
Rural,LoveDa/Train/Train/Rural/images_png/175.png,LoveDa/Train/Train/Rural/masks_png/175.png,175.png,1048576,100846,947730,9.617424011230469,90.38257598876953
Rural,LoveDa/Train/Train/Rural/images_png/820.png,LoveDa/Train/Train/Rural/masks_png/820.png,820.png,1048576,220561,828015,21.03433609008789,78.96566390991211
Rural,LoveDa/Train/Train/Rural/images_png/60.png,LoveDa/Train/Train/Rural/masks_png/60.png,60.png,1048576,11393,1037183,1.0865211486816406,98.91347885131836
Rural,LoveDa/Train/Train/Rural/images_png/834.png,LoveDa/Train/Train/Rural/masks_png/834.png,834.png,1048576,351621,696955,33.5331916809082,66.4668083190918
Rural,LoveDa/Train/Train/Rural/images_png/74.png,LoveDa/Train/Train/Rural/masks_png/74.png,74.png,1048576,0,1048576,0.0,100.0
Rural,LoveDa/Train/Train/Rural/images_png/1350.png,LoveDa/Train/Train/Rural/masks_png/1350.png,1350.png,1048576,0,1048576,0.0,100.0
Rural,LoveDa/Train/Train/Rural/images_png/808.png,LoveDa/Train/Train/Rural/masks_png/808.png,808.png,1048576,71137,977439,6.784152984619141,93.21584701538086
Rural,LoveDa/Train/Train/Rural/images_png/48.png,LoveDa/Train/Train/Rural/masks_png/48.png,48.png,1048576,0,1048576,0.0,100.0
Rural,LoveDa/Train/Train/Rural/images_png/1344.png,LoveDa/Train/Train/Rural/masks_png/1344.png,1344.png,1048576,16331,1032245,1.5574455261230469,98.44255447387695
Rural,LoveDa/Train/Train/Rural/images_png/997.png,LoveDa/Train/Train/Rural/masks_png/997.png,997.png,1048576,494739,553837,47.18198776245117,52.81801223754883
Rural,LoveDa/Train/Train/Rural/images_png/983.png,LoveDa/Train/Train/Rural/masks_png/983.png,983.png,1048576,12923,1035653,1.2324333190917969,98.7675666809082
Rural,LoveDa/Train/Train/Rural/images_png/773.png,LoveDa/Train/Train/Rural/masks_png/773.png,773.png,1048576,1039796,8780,99.16267395019531,0.8373260498046875
Rural,LoveDa/Train/Train/Rural/images_png/767.png,LoveDa/Train/Train/Rural/masks_png/767.png,767.png,1048576,61479,987097,5.863094329833984,94.13690567016602
Rural,LoveDa/Train/Train/Rural/images_png/1218.png,LoveDa/Train/Train/Rural/masks_png/1218.png,1218.png,1048576,48515,1000061,4.626750946044922,95.37324905395508
Rural,LoveDa/Train/Train/Rural/images_png/954.png,LoveDa/Train/Train/Rural/masks_png/954.png,954.png,1048576,91481,957095,8.724308013916016,91.27569198608398
Rural,LoveDa/Train/Train/Rural/images_png/798.png,LoveDa/Train/Train/Rural/masks_png/798.png,798.png,1048576,72194,976382,6.884956359863281,93.11504364013672
Rural,LoveDa/Train/Train/Rural/images_png/940.png,LoveDa/Train/Train/Rural/masks_png/940.png,940.png,1048576,94446,954130,9.007072448730469,90.99292755126953
Rural,LoveDa/Train/Train/Rural/images_png/1224.png,LoveDa/Train/Train/Rural/masks_png/1224.png,1224.png,1048576,666311,382265,63.544368743896484,36.455631256103516
Rural,LoveDa/Train/Train/Rural/images_png/968.png,LoveDa/Train/Train/Rural/masks_png/968.png,968.png,1048576,253643,794933,24.189281463623047,75.81071853637695
Rural,LoveDa/Train/Train/Rural/images_png/1230.png,LoveDa/Train/Train/Rural/masks_png/1230.png,1230.png,1048576,1005313,43263,95.87411880493164,4.125881195068359
Rural,LoveDa/Train/Train/Rural/images_png/559.png,LoveDa/Train/Train/Rural/masks_png/559.png,559.png,1048576,984708,63868,93.90907287597656,6.0909271240234375
Rural,LoveDa/Train/Train/Rural/images_png/571.png,LoveDa/Train/Train/Rural/masks_png/571.png,571.png,1048576,0,1048576,0.0,100.0
Rural,LoveDa/Train/Train/Rural/images_png/217.png,LoveDa/Train/Train/Rural/masks_png/217.png,217.png,1048576,0,1048576,0.0,100.0
Rural,LoveDa/Train/Train/Rural/images_png/203.png,LoveDa/Train/Train/Rural/masks_png/203.png,203.png,1048576,0,1048576,0.0,100.0
Rural,LoveDa/Train/Train/Rural/images_png/565.png,LoveDa/Train/Train/Rural/masks_png/565.png,565.png,1048576,13725,1034851,1.3089179992675781,98.69108200073242
Rural,LoveDa/Train/Train/Rural/images_png/1026.png,LoveDa/Train/Train/Rural/masks_png/1026.png,1026.png,1048576,0,1048576,0.0,100.0
Rural,LoveDa/Train/Train/Rural/images_png/1032.png,LoveDa/Train/Train/Rural/masks_png/1032.png,1032.png,1048576,0,1048576,0.0,100.0
Rural,LoveDa/Train/Train/Rural/images_png/1033.png,LoveDa/Train/Train/Rural/masks_png/1033.png,1033.png,1048576,4027,1044549,0.3840446472167969,99.6159553527832
Rural,LoveDa/Train/Train/Rural/images_png/1027.png,LoveDa/Train/Train/Rural/masks_png/1027.png,1027.png,1048576,306914,741662,29.26959991455078,70.73040008544922
Rural,LoveDa/Train/Train/Rural/images_png/202.png,LoveDa/Train/Train/Rural/masks_png/202.png,202.png,1048576,326514,722062,31.13880157470703,68.86119842529297
Rural,LoveDa/Train/Train/Rural/images_png/564.png,LoveDa/Train/Train/Rural/masks_png/564.png,564.png,1048576,27953,1020623,2.6658058166503906,97.33419418334961
Rural,LoveDa/Train/Train/Rural/images_png/570.png,LoveDa/Train/Train/Rural/masks_png/570.png,570.png,1048576,0,1048576,0.0,100.0
Rural,LoveDa/Train/Train/Rural/images_png/216.png,LoveDa/Train/Train/Rural/masks_png/216.png,216.png,1048576,0,1048576,0.0,100.0
Rural,LoveDa/Train/Train/Rural/images_png/558.png,LoveDa/Train/Train/Rural/masks_png/558.png,558.png,1048576,866,1047710,0.08258819580078125,99.91741180419922
Rural,LoveDa/Train/Train/Rural/images_png/1231.png,LoveDa/Train/Train/Rural/masks_png/1231.png,1231.png,1048576,615637,432939,58.71171951293945,41.28828048706055
Rural,LoveDa/Train/Train/Rural/images_png/969.png,LoveDa/Train/Train/Rural/masks_png/969.png,969.png,1048576,745433,303143,71.09003067016602,28.909969329833984
Rural,LoveDa/Train/Train/Rural/images_png/1225.png,LoveDa/Train/Train/Rural/masks_png/1225.png,1225.png,1048576,20804,1027772,1.9840240478515625,98.01597595214844
Rural,LoveDa/Train/Train/Rural/images_png/941.png,LoveDa/Train/Train/Rural/masks_png/941.png,941.png,1048576,330276,718300,31.497573852539062,68.50242614746094
Rural,LoveDa/Train/Train/Rural/images_png/799.png,LoveDa/Train/Train/Rural/masks_png/799.png,799.png,1048576,41010,1007566,3.9110183715820312,96.08898162841797
Rural,LoveDa/Train/Train/Rural/images_png/955.png,LoveDa/Train/Train/Rural/masks_png/955.png,955.png,1048576,16365,1032211,1.5606880187988281,98.43931198120117
Rural,LoveDa/Train/Train/Rural/images_png/1219.png,LoveDa/Train/Train/Rural/masks_png/1219.png,1219.png,1048576,2761,1045815,0.2633094787597656,99.73669052124023
Rural,LoveDa/Train/Train/Rural/images_png/766.png,LoveDa/Train/Train/Rural/masks_png/766.png,766.png,1048576,207980,840596,19.834518432617188,80.16548156738281
Rural,LoveDa/Train/Train/Rural/images_png/772.png,LoveDa/Train/Train/Rural/masks_png/772.png,772.png,1048576,0,1048576,0.0,100.0
Rural,LoveDa/Train/Train/Rural/images_png/982.png,LoveDa/Train/Train/Rural/masks_png/982.png,982.png,1048576,0,1048576,0.0,100.0
Rural,LoveDa/Train/Train/Rural/images_png/996.png,LoveDa/Train/Train/Rural/masks_png/996.png,996.png,1048576,0,1048576,0.0,100.0
Rural,LoveDa/Train/Train/Rural/images_png/1345.png,LoveDa/Train/Train/Rural/masks_png/1345.png,1345.png,1048576,395197,653379,37.68892288208008,62.31107711791992
Rural,LoveDa/Train/Train/Rural/images_png/49.png,LoveDa/Train/Train/Rural/masks_png/49.png,49.png,1048576,0,1048576,0.0,100.0
Rural,LoveDa/Train/Train/Rural/images_png/809.png,LoveDa/Train/Train/Rural/masks_png/809.png,809.png,1048576,460876,587700,43.95256042480469,56.04743957519531
Rural,LoveDa/Train/Train/Rural/images_png/1351.png,LoveDa/Train/Train/Rural/masks_png/1351.png,1351.png,1048576,337712,710864,32.20672607421875,67.79327392578125
Rural,LoveDa/Train/Train/Rural/images_png/75.png,LoveDa/Train/Train/Rural/masks_png/75.png,75.png,1048576,339577,708999,32.384586334228516,67.61541366577148
Rural,LoveDa/Train/Train/Rural/images_png/835.png,LoveDa/Train/Train/Rural/masks_png/835.png,835.png,1048576,11370,1037206,1.0843276977539062,98.9156723022461
Rural,LoveDa/Train/Train/Rural/images_png/61.png,LoveDa/Train/Train/Rural/masks_png/61.png,61.png,1048576,883283,165293,84.23643112182617,15.763568878173828
Rural,LoveDa/Train/Train/Rural/images_png/821.png,LoveDa/Train/Train/Rural/masks_png/821.png,821.png,1048576,2079,1046497,0.19826889038085938,99.80173110961914
Rural,LoveDa/Train/Train/Rural/images_png/612.png,LoveDa/Train/Train/Rural/masks_png/612.png,612.png,1048576,0,1048576,0.0,100.0
Rural,LoveDa/Train/Train/Rural/images_png/174.png,LoveDa/Train/Train/Rural/masks_png/174.png,174.png,1048576,0,1048576,0.0,100.0
Rural,LoveDa/Train/Train/Rural/images_png/160.png,LoveDa/Train/Train/Rural/masks_png/160.png,160.png,1048576,1043647,4929,99.52993392944336,0.4700660705566406
Rural,LoveDa/Train/Train/Rural/images_png/606.png,LoveDa/Train/Train/Rural/masks_png/606.png,606.png,1048576,582546,466030,55.55591583251953,44.44408416748047
Rural,LoveDa/Train/Train/Rural/images_png/148.png,LoveDa/Train/Train/Rural/masks_png/148.png,148.png,1048576,192492,856084,18.357467651367188,81.64253234863281
Rural,LoveDa/Train/Train/Rural/images_png/1147.png,LoveDa/Train/Train/Rural/masks_png/1147.png,1147.png,1048576,0,1048576,0.0,100.0
Rural,LoveDa/Train/Train/Rural/images_png/1153.png,LoveDa/Train/Train/Rural/masks_png/1153.png,1153.png,1048576,0,1048576,0.0,100.0
Rural,LoveDa/Train/Train/Rural/images_png/389.png,LoveDa/Train/Train/Rural/masks_png/389.png,389.png,1048576,624947,423629,59.59959030151367,40.40040969848633
Rural,LoveDa/Train/Train/Rural/images_png/376.png,LoveDa/Train/Train/Rural/masks_png/376.png,376.png,1048576,301048,747528,28.710174560546875,71.28982543945312
Rural,LoveDa/Train/Train/Rural/images_png/410.png,LoveDa/Train/Train/Rural/masks_png/410.png,410.png,1048576,32938,1015638,3.1412124633789062,96.8587875366211
Rural,LoveDa/Train/Train/Rural/images_png/1184.png,LoveDa/Train/Train/Rural/masks_png/1184.png,1184.png,1048576,0,1048576,0.0,100.0
Rural,LoveDa/Train/Train/Rural/images_png/1190.png,LoveDa/Train/Train/Rural/masks_png/1190.png,1190.png,1048576,98644,949932,9.407424926757812,90.59257507324219
Rural,LoveDa/Train/Train/Rural/images_png/404.png,LoveDa/Train/Train/Rural/masks_png/404.png,404.png,1048576,0,1048576,0.0,100.0
Rural,LoveDa/Train/Train/Rural/images_png/362.png,LoveDa/Train/Train/Rural/masks_png/362.png,362.png,1048576,779799,268777,74.36742782592773,25.632572174072266
Rural,LoveDa/Train/Train/Rural/images_png/438.png,LoveDa/Train/Train/Rural/masks_png/438.png,438.png,1048576,0,1048576,0.0,100.0
Rural,LoveDa/Train/Train/Rural/images_png/366.png,LoveDa/Train/Train/Rural/masks_png/366.png,366.png,1048576,0,1048576,0.0,100.0
Rural,LoveDa/Train/Train/Rural/images_png/400.png,LoveDa/Train/Train/Rural/masks_png/400.png,400.png,1048576,0,1048576,0.0,100.0
Rural,LoveDa/Train/Train/Rural/images_png/1194.png,LoveDa/Train/Train/Rural/masks_png/1194.png,1194.png,1048576,790739,257837,75.41074752807617,24.589252471923828
Rural,LoveDa/Train/Train/Rural/images_png/1180.png,LoveDa/Train/Train/Rural/masks_png/1180.png,1180.png,1048576,1045547,3029,99.71113204956055,0.2888679504394531
Rural,LoveDa/Train/Train/Rural/images_png/414.png,LoveDa/Train/Train/Rural/masks_png/414.png,414.png,1048576,86333,962243,8.233356475830078,91.76664352416992
